Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Pts,Stl,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,Player_ID
0,0,2,2,0,2,0,0,0,0,12,1,1,0,0,0,0,0,3,1,2,0,2,133
0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,133
0,0,1,1,0,1,0,0,0,0,12,5,0,0,0,1,0,1,1,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,0,0,0,0,0,0,1,12,10,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0,0,1,0,0,0,133
0,0,0,0,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,0,0,0,0,0,0,1,12,15,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,12,16,0,0,0,0,0,0,0,0,0,0,0,133
0,0,1,0,0,0,0,0,0,0,12,17,0,0,0,0,0,0,1,1,0,0,0,133
0,0,2,0,0,0,0,0,0,0,12,18,0,0,0,0,0,0,2,0,0,0,0,133
0,0,1,1,1,0,0,0,0,0,12,22,0,2,0,0,0,0,1,0,1,1,0,133
0,0,0,0,0,0,0,0,0,0,12,25,0,0,0,0,0,0,0,0,0,0,0,133
0,0,1,2,1,1,0,0,0,0,9,1,1,2,0,1,0,1,2,1,1,1,0,133
0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,0,0,0,0,0,0,1,9,6,0,0,0,0,0,0,0,1,0,0,0,133
0,0,1,1,0,1,0,0,0,0,9,7,0,0,0,0,0,0,1,1,1,0,1,133
0,0,1,0,0,0,0,0,0,0,9,8,1,0,0,0,0,0,2,1,0,0,0,133
0,0,0,2,0,2,2,0,2,1,9,9,1,0,0,0,0,0,1,1,2,0,2,133
0,0,1,0,0,0,2,1,1,0,9,11,1,1,0,0,0,0,2,0,0,0,0,133
0,1,1,1,1,0,0,0,0,0,9,12,1,2,1,0,0,0,2,1,1,1,0,133
0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,10,2,1,0,0,0,0,0,1,0,0,0,0,133
0,0,0,2,1,1,0,0,0,0,10,3,1,2,0,0,0,0,1,0,2,1,1,133
0,0,0,1,1,0,0,0,0,0,10,4,2,2,0,0,0,0,2,0,1,1,0,133
0,0,1,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,1,0,0,0,0,133
0,0,1,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,1,0,0,0,0,133
0,0,0,1,0,1,0,0,0,0,10,10,0,0,0,0,0,0,0,0,1,0,1,133
0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,133
0,0,2,3,1,2,2,0,2,2,10,12,1,2,1,0,0,0,3,0,3,1,2,133
0,0,0,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,1,0,1,0,0,0,0,10,14,0,0,0,1,0,1,0,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,10,16,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,3,1,2,0,0,0,0,10,21,1,2,0,0,0,0,1,0,3,1,2,133
0,0,0,0,0,0,0,0,0,0,10,22,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,1,1,0,0,0,0,0,10,23,0,2,0,0,0,0,0,0,1,1,0,133
0,0,2,0,0,0,0,0,0,0,10,24,0,0,0,0,0,0,2,0,0,0,0,133
0,0,4,3,1,2,1,1,0,0,14,1,1,3,0,0,0,0,5,0,3,1,2,133
0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,1,0,0,0,133
0,0,0,0,0,0,0,0,0,0,14,4,1,0,0,0,0,0,1,1,0,0,0,133
0,0,1,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,1,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,1,0,1,0,0,0,0,14,8,0,0,0,0,0,0,0,0,1,0,1,133
0,0,0,0,0,0,0,0,0,1,14,9,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,1,1,0,0,0,0,0,14,10,1,2,0,0,0,0,1,0,1,1,0,133
0,0,1,1,1,0,0,0,0,0,14,11,0,2,0,0,0,0,1,0,1,1,0,133
0,0,0,1,1,0,0,0,0,0,14,12,0,2,0,0,0,0,0,0,1,1,0,133
0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,3,0,3,0,0,0,0,14,14,2,0,0,0,0,0,2,0,3,0,3,133
0,0,0,0,0,0,0,0,0,1,14,15,0,0,0,0,0,0,0,0,0,0,0,133
0,0,2,0,0,0,0,0,0,0,14,16,0,0,0,0,0,0,2,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,14,17,0,0,0,0,0,0,0,0,0,0,0,133
0,0,2,1,1,0,0,0,0,1,14,18,0,2,0,0,0,0,2,0,1,1,0,133
0,0,1,1,0,1,0,0,0,0,14,19,0,0,0,0,0,0,1,0,1,0,1,133
0,0,1,0,0,0,0,0,0,0,14,24,0,0,0,0,0,0,1,0,0,0,0,133
0,0,1,0,0,0,0,0,0,0,14,25,0,0,0,0,0,0,1,0,0,0,0,133
0,0,1,2,0,2,0,0,0,0,14,26,0,0,0,0,0,0,1,1,2,0,2,133
0,0,0,0,0,0,0,0,0,0,14,27,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,0,0,0,2,1,1,1,14,28,0,1,0,0,0,0,0,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,14,29,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,1,0,1,0,0,0,0,14,30,0,0,0,0,0,0,0,0,1,0,1,133
0,0,0,1,0,1,0,0,0,0,12,1,0,0,1,1,0,1,0,0,0,0,0,138
1,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,138
1,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,0,0,0,0,0,0,1,12,10,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,1,1,0,0,0,0,0,12,11,0,2,0,0,0,0,0,0,1,1,0,138
0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,12,15,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,12,16,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,1,1,0,0,0,0,1,12,17,0,3,0,1,1,0,0,0,0,0,0,138
0,0,1,1,0,1,0,0,0,0,12,18,0,0,0,1,0,1,1,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,12,24,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,12,25,0,0,0,0,0,0,0,0,0,0,0,138
0,0,1,1,1,0,0,0,0,0,9,1,0,3,0,1,1,0,1,1,0,0,0,138
1,0,0,0,0,0,2,2,0,0,9,7,0,2,0,0,0,0,0,0,0,0,0,138
1,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,1,0,1,0,0,0,0,9,13,0,0,0,1,0,1,0,1,0,0,0,138
0,0,2,1,0,1,0,0,0,0,10,1,0,0,0,1,0,1,2,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,138
0,1,1,0,0,0,2,2,0,0,10,7,0,2,2,0,0,0,1,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,138
1,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,1,0,1,0,0,0,0,10,12,0,0,0,1,0,1,0,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,138
1,0,0,0,0,0,0,0,0,0,10,18,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,10,19,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,10,21,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,10,22,0,0,0,0,0,0,0,0,0,0,0,138
0,0,1,0,0,0,0,0,0,0,10,23,0,0,0,0,0,0,1,1,0,0,0,138
0,0,0,0,0,0,0,0,0,1,10,24,0,0,0,0,0,0,0,1,0,0,0,138
1,0,0,1,1,0,0,0,0,0,14,1,0,3,0,1,1,0,0,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,138
0,0,1,0,0,0,0,0,0,0,14,12,0,0,0,0,0,0,1,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,0,0,0,0,138
0,1,0,0,0,0,0,0,0,0,14,16,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,14,17,0,0,0,0,0,0,0,0,0,0,0,138
0,0,1,1,0,1,0,0,0,1,14,18,0,0,0,1,0,1,1,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,14,19,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,14,26,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,14,27,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,14,28,0,0,0,0,0,0,0,0,0,0,0,138
0,0,1,1,0,1,0,0,0,0,14,29,0,0,0,1,0,1,1,0,0,0,0,138
0,0,0,2,1,1,0,0,0,1,14,30,1,3,0,2,1,1,1,0,0,0,0,138
0,3,2,2,1,1,0,0,0,0,12,1,0,2,0,0,0,0,2,0,2,1,1,134
0,0,1,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,1,0,0,0,0,134
0,0,0,1,0,1,0,0,0,0,12,3,0,0,0,0,0,0,0,0,1,0,1,134
0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,1,0,0,0,134
0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,134
0,0,0,2,2,0,0,0,0,0,12,8,0,4,0,0,0,0,0,0,2,2,0,134
0,0,1,1,1,0,0,0,0,0,12,9,0,2,0,0,0,0,1,0,1,1,0,134
0,0,1,0,0,0,4,4,0,0,12,10,0,4,0,0,0,0,1,0,0,0,0,134
1,0,0,0,0,0,0,0,0,1,12,11,0,0,0,0,0,0,0,0,0,0,0,134
0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,134
0,0,0,0,0,0,0,0,0,0,12,16,0,0,0,0,0,0,0,0,0,0,0,134
0,0,0,2,0,2,0,0,0,1,12,17,1,0,0,0,0,0,1,0,2,0,2,134
0,0,0,1,1,0,0,0,0,0,12,18,0,2,0,0,0,0,0,0,1,1,0,134
0,0,0,0,0,0,0,0,0,0,12,19,0,0,0,0,0,0,0,0,0,0,0,134
1,0,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0,0,0,0,0,0,0,134
0,0,0,0,0,0,0,0,0,0,12,21,0,0,0,0,0,0,0,1,0,0,0,134
1,0,1,1,0,1,0,0,0,1,12,22,0,0,0,0,0,0,1,0,1,0,1,134
0,0,0,0,0,0,0,0,0,0,12,23,0,0,0,0,0,0,0,0,0,0,0,134
0,0,0,1,0,1,4,3,1,0,12,24,0,3,0,0,0,0,0,0,1,0,1,134
1,0,2,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,2,0,0,0,0,134
0,0,1,1,1,0,0,0,0,0,9,3,1,2,0,0,0,0,2,1,1,1,0,134
0,0,0,1,0,1,0,0,0,0,9,4,0,0,0,0,0,0,0,0,1,0,1,134
0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,134
0,0,1,1,0,1,0,0,0,0,9,6,0,0,0,0,0,0,1,2,1,0,1,134
0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,134
0,1,1,1,1,0,2,2,0,0,9,8,0,4,0,0,0,0,1,0,1,1,0,134
0,0,0,1,1,0,1,1,0,0,9,9,0,3,0,0,0,0,0,0,1,1,0,134
1,0,0,0,0,0,0,0,0,1,9,10,0,0,0,0,0,0,0,1,0,0,0,134
1,0,1,1,1,0,2,1,1,4,9,12,1,3,0,0,0,0,2,0,1,1,0,134
0,0,1,2,2,0,0,0,0,0,10,1,0,4,0,0,0,0,1,1,2,2,0,134
0,0,1,2,1,1,2,1,1,1,10,2,1,3,0,0,0,0,2,1,2,1,1,134
0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,134
0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,134
0,0,0,0,0,0,0,0,0,1,10,7,0,0,0,0,0,0,0,0,0,0,0,134
0,0,1,0,0,0,2,2,0,0,10,10,1,2,0,0,0,0,2,0,0,0,0,134
1,0,1,0,0,0,0,0,0,0,10,12,0,0,1,0,0,0,1,0,0,0,0,134
0,0,0,0,0,0,0,0,0,0,10,13,0,0,1,0,0,0,0,0,0,0,0,134
0,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,134
1,0,0,0,0,0,0,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,134
0,0,2,1,0,1,0,0,0,0,10,18,0,0,0,0,0,0,2,0,1,0,1,134
0,1,1,0,0,0,0,0,0,1,10,19,0,0,0,0,0,0,1,1,0,0,0,134
0,1,1,2,1,1,0,0,0,1,10,20,1,2,1,0,0,0,2,0,2,1,1,134
0,0,0,1,0,1,0,0,0,1,10,23,0,0,0,0,0,0,0,0,1,0,1,134
1,0,0,2,1,1,0,0,0,1,14,1,0,2,0,0,0,0,0,0,2,1,1,134
0,0,0,1,0,1,0,0,0,0,14,2,0,0,0,0,0,0,0,0,1,0,1,134
0,0,0,0,0,0,2,1,1,1,14,6,0,1,0,0,0,0,0,0,0,0,0,134
1,0,1,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,1,0,0,0,0,134
0,0,1,1,0,1,0,0,0,0,14,8,0,0,0,0,0,0,1,0,1,0,1,134
0,0,0,0,0,0,0,0,0,0,14,10,0,0,0,0,0,0,0,1,0,0,0,134
0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,0,0,0,0,1,0,0,0,134
0,0,0,0,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,0,0,0,0,134
0,0,2,2,1,1,2,1,1,0,14,18,0,3,0,0,0,0,2,0,2,1,1,134
0,0,0,0,0,0,0,0,0,1,14,20,0,0,0,0,0,0,0,0,0,0,0,134
0,0,0,0,0,0,0,0,0,0,14,21,0,0,0,0,0,0,0,0,0,0,0,134
0,0,0,0,0,0,0,0,0,0,14,22,0,0,0,0,0,0,0,0,0,0,0,134
0,0,0,0,0,0,0,0,0,1,14,23,0,0,0,0,0,0,0,0,0,0,0,134
0,0,0,0,0,0,0,0,0,0,14,25,0,0,0,0,0,0,0,0,0,0,0,134
0,0,0,0,0,0,0,0,0,0,14,26,0,0,0,0,0,0,0,0,0,0,0,134
0,0,0,1,1,0,0,0,0,0,14,28,0,2,0,0,0,0,0,1,1,1,0,134
1,0,0,0,0,0,0,0,0,1,14,29,1,0,0,0,0,0,1,1,0,0,0,134
0,0,0,1,1,0,0,0,0,0,12,1,0,2,0,0,0,0,0,1,1,1,0,127
0,0,0,1,0,1,0,0,0,0,12,2,0,0,0,1,0,1,0,0,0,0,0,127
0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,127
0,0,0,0,0,0,0,0,0,1,12,11,0,0,0,0,0,0,0,0,0,0,0,127
0,0,0,1,0,1,0,0,0,0,12,12,0,0,0,0,0,0,0,0,1,0,1,127
0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,127
0,0,0,0,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0,0,0,0,0,127
0,0,0,0,0,0,0,0,0,0,12,15,0,0,0,0,0,0,0,0,0,0,0,127
0,0,0,1,0,1,0,0,0,0,12,16,0,0,0,1,0,1,0,0,0,0,0,127
0,0,0,0,0,0,0,0,0,0,12,17,0,0,0,0,0,0,0,1,0,0,0,127
0,0,0,0,0,0,0,0,0,0,12,21,0,0,0,0,0,0,0,0,0,0,0,127
0,0,0,2,0,2,0,0,0,0,12,22,0,0,0,2,0,2,0,0,0,0,0,127
1,0,0,2,1,1,0,0,0,0,9,1,0,2,0,1,0,1,0,0,1,1,0,127
0,0,0,2,1,1,0,0,0,2,9,6,1,2,0,0,0,0,1,0,2,1,1,127
0,0,0,1,0,1,0,0,0,0,9,8,0,0,0,0,0,0,0,0,1,0,1,127
0,0,1,2,1,1,2,2,0,0,9,12,0,5,0,1,1,0,1,0,1,0,1,127
0,0,0,0,0,0,2,2,0,0,9,13,0,2,0,0,0,0,0,0,0,0,0,127
1,0,3,2,1,1,0,0,0,0,10,1,0,3,0,1,1,0,3,0,1,0,1,127
0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,127
0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,127
1,0,0,1,0,1,0,0,0,0,10,7,0,0,0,0,0,0,0,0,1,0,1,127
1,0,0,2,0,2,0,0,0,0,10,8,0,0,0,1,0,1,0,0,1,0,1,127
0,0,0,1,0,1,0,0,0,0,10,12,1,0,0,0,0,0,1,1,1,0,1,127
0,0,0,0,0,0,0,0,0,0,10,22,0,0,0,0,0,0,0,0,0,0,0,127
0,0,0,0,0,0,2,1,1,1,10,23,0,1,1,0,0,0,0,0,0,0,0,127
0,0,0,1,0,1,0,0,0,0,10,24,0,0,0,1,0,1,0,0,0,0,0,127
0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,127
0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,127
0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,127
0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0,127
0,0,0,1,0,1,0,0,0,0,14,6,0,0,0,1,0,1,0,0,0,0,0,127
0,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,127
0,0,0,0,0,0,0,0,0,0,14,8,0,0,0,0,0,0,0,0,0,0,0,127
0,0,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,0,0,0,0,0,0,127
0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,127
0,0,0,0,0,0,0,0,0,1,14,14,0,0,0,0,0,0,0,0,0,0,0,127
0,0,0,0,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,0,0,0,0,127
0,0,0,1,0,1,0,0,0,0,14,16,0,0,0,0,0,0,0,0,1,0,1,127
0,0,1,0,0,0,1,0,1,0,14,17,0,0,0,0,0,0,1,0,0,0,0,127
0,0,0,0,0,0,0,0,0,0,14,21,0,0,0,0,0,0,0,0,0,0,0,127
0,0,0,1,0,1,0,0,0,0,14,22,0,0,0,0,0,0,0,0,1,0,1,127
0,0,0,1,0,1,0,0,0,0,12,1,0,0,0,1,0,1,0,1,0,0,0,135
0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,135
0,0,0,1,1,0,0,0,0,0,12,3,0,3,0,1,1,0,0,0,0,0,0,135
0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,135
0,0,0,1,0,1,0,0,0,0,12,5,0,0,0,0,0,0,0,0,1,0,1,135
0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,135
0,0,0,1,1,0,0,0,0,0,12,9,0,2,0,0,0,0,0,1,1,1,0,135
0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,135
0,0,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,0,0,0,0,135
0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,1,0,0,0,135
0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,135
0,0,0,1,1,0,0,0,0,0,12,14,0,2,0,0,0,0,0,0,1,1,0,135
0,0,0,0,0,0,0,0,0,0,12,15,0,0,0,0,0,0,0,0,0,0,0,135
0,0,0,0,0,0,0,0,0,0,12,16,0,0,0,0,0,0,0,0,0,0,0,135
