Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
4,0,4,6,5,1,0,0,0,3,20.0,19,1,"Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",12,4.933333333333334,0,0,0,1,5,2,3,6,5,1,0,0,9,2,1,0,1,1,2,4,2,2,3,0,Illinois Tech Scarlet Hawks,3,2,1,15.066666666666666,4,4,3,3,0,1
3,0,0,3,3,0,0,0,0,1,15.066666666666666,19,2,"Ahmad Muhammad,Jake Bruns,Kohl Linder,Max Hisatake,Parker Joncus",9,1.3499999999999996,0,0,0,0,1,1,0,0,0,0,0,0,3,0,1,1,0,0,1,0,0,0,6,1,Illinois Tech Scarlet Hawks,3,3,0,13.716666666666667,0,0,0,0,0,1
2,1,2,2,2,0,0,0,0,0,13.716666666666667,19,3,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Kohl Linder,Milos Dugalic",5,1.6999999999999993,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,5,0,Illinois Tech Scarlet Hawks,1,1,0,12.016666666666667,2,0,1,1,0,1
0,0,0,2,0,2,2,1,1,1,12.016666666666667,19,4,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Milos Dugalic,Ricardo Whitehead",1,0.8833333333333346,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,Illinois Tech Scarlet Hawks,1,0,1,11.133333333333333,1,1,1,0,1,1
1,0,1,2,1,1,2,2,0,0,11.133333333333333,19,5,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Max Hisatake,Milos Dugalic",4,1.0833333333333321,1,0,0,0,3,1,2,0,0,0,1,1,2,0,2,0,2,1,0,1,1,0,2,0,Illinois Tech Scarlet Hawks,0,0,0,10.05,2,0,2,1,1,1
2,0,2,2,2,0,0,0,0,2,10.05,19,6,"Jake Bruns,Jake Digiorgio,Max Hisatake,Milos Dugalic,Otis Reale",5,1.583333333333334,0,0,0,0,2,0,2,2,2,0,1,0,2,0,0,0,0,0,0,2,0,2,3,0,Illinois Tech Scarlet Hawks,1,1,0,8.466666666666667,2,0,1,1,0,1
0,0,0,0,0,0,0,0,0,1,8.466666666666667,19,7,"Jake Bruns,Max Hisatake,Milos Dugalic,Otis Reale,Ricardo Whitehead",0,0.21666666666666679,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,-2,0,Illinois Tech Scarlet Hawks,0,0,0,8.25,0,1,0,0,0,1
0,1,1,0,0,0,0,0,0,1,8.25,19,8,"Ahmad Muhammad,Max Hisatake,Otis Reale,Parker Joncus,Ricardo Whitehead",0,0.8499999999999996,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,Illinois Tech Scarlet Hawks,0,0,0,7.4,1,3,0,0,0,1
0,0,4,5,1,4,0,0,0,1,7.4,19,9,"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Max Hisatake,Parker Joncus",2,3.5333333333333337,1,1,0,3,8,2,6,0,0,0,0,2,4,0,1,0,1,5,0,7,2,5,-2,0,Illinois Tech Scarlet Hawks,1,0,1,3.8666666666666667,5,1,4,1,3,1
1,0,1,3,2,1,0,0,0,1,3.8666666666666667,19,10,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Milos Dugalic,Parker Joncus",5,2.6333333333333333,0,0,0,1,3,2,1,2,2,0,0,0,6,0,0,0,0,1,0,3,2,1,-1,0,Illinois Tech Scarlet Hawks,2,1,1,1.2333333333333334,1,1,1,1,0,1
0,0,0,1,0,1,0,0,0,0,1.2333333333333334,19,11,"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Milos Dugalic",0,1.2333333333333334,0,0,0,1,2,1,1,0,0,0,0,0,2,0,1,0,1,1,0,1,1,0,0,0,Illinois Tech Scarlet Hawks,0,0,0,0.0,0,0,1,0,1,1
2,0,5,8,3,5,0,0,0,2,20.0,19,12,"Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",6,4.916666666666666,1,1,0,3,7,2,5,0,0,0,2,0,5,0,1,1,0,3,1,6,1,5,1,0,Illinois Tech Scarlet Hawks,2,0,2,15.083333333333334,6,1,6,3,3,2
2,1,3,4,2,2,2,2,0,0,15.083333333333334,19,13,"Ahmad Muhammad,Calvin Schmitz,Kohl Linder,Max Hisatake,Milos Dugalic",8,2.950000000000001,2,0,0,0,4,1,3,0,0,0,2,0,2,2,1,0,1,0,1,3,1,2,6,0,Illinois Tech Scarlet Hawks,4,2,2,12.133333333333333,5,2,0,0,0,2
0,0,2,1,0,1,0,0,0,3,12.133333333333333,19,14,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Milos Dugalic,Ricardo Whitehead",0,1.5166666666666657,0,0,0,0,3,0,3,2,1,1,0,1,1,1,1,0,1,1,0,2,0,2,-1,0,Illinois Tech Scarlet Hawks,1,0,1,10.616666666666667,2,1,0,0,0,2
1,0,3,5,2,3,0,0,0,2,10.616666666666667,19,15,"Ahmad Muhammad,Jake Digiorgio,Max Hisatake,Milos Dugalic,Otis Reale",5,3.716666666666667,2,0,0,1,7,2,5,4,0,4,2,2,5,2,3,1,2,3,0,4,1,3,0,0,Illinois Tech Scarlet Hawks,3,1,2,6.9,5,3,2,1,1,2
0,0,0,0,0,0,0,0,0,1,6.9,19,16,"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Milos Dugalic",0,0.43333333333333357,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,-2,0,Illinois Tech Scarlet Hawks,0,0,0,6.466666666666667,0,1,0,0,0,2
0,0,1,2,1,1,0,0,0,0,6.466666666666667,19,17,"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Max Hisatake,Milos Dugalic",2,1.2833333333333332,0,0,0,1,2,1,1,0,0,0,0,0,2,0,0,0,0,1,0,2,1,1,0,0,Illinois Tech Scarlet Hawks,0,0,0,5.183333333333334,1,0,2,1,1,2
0,0,0,2,1,1,4,4,0,1,5.183333333333334,19,18,"Ahmad Muhammad,Jake Bruns,Max Hisatake,Milos Dugalic,Parker Joncus",6,2.0500000000000003,0,1,0,1,4,3,1,2,1,1,2,1,7,0,0,0,0,2,0,4,3,1,-1,0,Illinois Tech Scarlet Hawks,1,0,1,3.1333333333333333,0,1,1,1,0,2
0,0,0,0,0,0,0,0,0,0,3.1333333333333333,19,19,"Ahmad Muhammad,Jake Digiorgio,Milos Dugalic,Otis Reale,Parker Joncus",0,0.18333333333333313,0,1,0,0,1,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,-3,0,Illinois Tech Scarlet Hawks,0,0,0,2.95,0,0,0,0,0,2
0,2,2,0,0,0,3,1,2,3,2.95,19,20,"Ahmad Muhammad,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",1,1.7166666666666668,0,0,0,2,6,2,4,2,1,1,2,1,5,2,1,0,1,3,0,5,2,3,-4,0,Illinois Tech Scarlet Hawks,0,0,0,1.2333333333333334,2,4,0,0,0,2
0,1,2,1,0,1,4,4,0,0,1.2333333333333334,19,21,"Ahmad Muhammad,Jake Digiorgio,Milos Dugalic,Otis Reale,Parker Joncus",4,1.2333333333333334,0,0,0,1,6,2,4,0,0,0,2,1,4,1,2,0,2,2,0,4,2,2,0,0,Illinois Tech Scarlet Hawks,1,0,1,0.0,2,1,0,0,0,2
