lineup_players,ast,block,defreb,fga,fg_made,fg_miss,fta,ft_made,ft_miss,foul,lineup_score,min,offreb,oppo_ast,oppo_block,oppo_defreb,oppo_fga,oppo_fg_made,oppo_fg_miss,oppo_fta,oppo_ft_made,oppo_ft_miss,oppo_foul,oppo_offreb,oppo_score,oppo_stl,oppo_three_fga,oppo_three_fg_made,oppo_three_fg_miss,oppo_ttlreb,oppo_turnover,oppo_two_fga,oppo_two_fg_made,oppo_two_fg_miss,plusminus,stl,three_fga,three_fg_made,three_fg_miss,ttlreb,turnover,two_fga,two_fg_made,two_fg_miss
"Ahmad Muhammad,Max Hisatake,Milos Dugalic,Otis Reale,Parker Joncus",1,0,0,1,1,0,0,0,0,3,2,1.05,0,0,0,0,2,0,2,2,2,0,1,2,2,0,0,0,0,2,1,2,0,2,0,0,0,0,0,0,0,1,1,0
"Ahmad Muhammad,Max Hisatake,Milos Dugalic,Ricardo Whitehead,Zach Parduhn",1,0,0,2,2,0,0,0,0,0,4,1.16666666666667,0,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,2,2,0
"Anthony Mosley,Brett Ott,Capriest Gardner,Milos Dugalic,Zach Parduhn",0,0,3,4,0,4,2,1,1,0,1,2.81666666666667,1,0,0,3,8,2,6,0,0,0,1,3,4,0,1,0,1,6,0,7,2,5,0,0,1,0,1,4,0,3,0,3
"Anthony Mosley,Calvin Schmitz,Cody Mattson,Jake Bruns,Ricardo Whitehead",0,0,4,6,2,4,0,0,0,0,5,2.91666666666667,0,1,0,2,5,1,4,0,0,0,1,0,2,1,2,0,2,2,1,3,1,2,3,0,3,1,2,4,1,3,1,2
"Anthony Mosley,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Kohl Linder",0,0,1,2,1,1,0,0,0,1,2,1.75,0,1,0,1,3,2,1,2,2,0,0,0,6,0,1,0,1,1,0,2,2,0,-4,0,0,0,0,1,0,2,1,1
"Anthony Mosley,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Max Hisatake",2,0,6,15,6,9,4,4,0,7,19,9.8,4,3,0,4,13,5,8,11,9,2,3,2,21,0,3,2,1,6,0,10,3,7,2,0,5,3,2,10,3,10,3,7
"Anthony Mosley,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Parker Joncus",0,1,2,2,0,2,0,0,0,0,0,1.85,0,0,0,2,4,1,3,0,0,0,0,1,2,0,1,0,1,3,1,3,1,2,-2,0,0,0,0,2,2,2,0,2
"Anthony Mosley,Calvin Schmitz,Jake Bruns,Kohl Linder,Max Hisatake",0,0,0,1,0,1,0,0,0,1,0,0.333333333333334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Anthony Mosley,Calvin Schmitz,Jake Bruns,Max Hisatake,Milos Dugalic",0,0,0,1,0,1,0,0,0,1,0,0.433333333333332,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Max Hisatake,Parker Joncus",0,1,1,1,0,1,0,0,0,1,0,0.549999999999999,1,0,0,0,1,0,1,2,1,1,0,0,1,1,0,0,0,0,0,1,0,1,-1,0,0,0,0,2,1,1,0,1
"Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Max Hisatake,Zach Parduhn",0,0,0,1,0,1,2,0,2,1,0,1.98333333333333,1,1,0,1,2,2,0,0,0,0,1,0,4,0,0,0,0,1,0,2,2,0,-4,0,1,0,1,1,1,0,0,0
"Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Otis Reale,Parker Joncus",0,0,1,1,0,1,0,0,0,0,0,1.78333333333333,0,0,0,1,2,1,1,0,0,0,0,0,2,2,0,0,0,1,0,2,1,1,-2,0,0,0,0,1,2,1,0,1
"Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Parker Joncus,Ricardo Whitehead",0,0,1,4,1,3,0,0,0,2,2,1.73333333333333,3,0,0,0,3,1,2,2,1,1,0,1,3,1,2,0,2,1,0,1,1,0,-1,0,0,0,0,4,2,4,1,3
"Anthony Mosley,Capriest Gardner,Jake Bruns,Jake Digiorgio,Parker Joncus",0,1,1,3,0,3,0,0,0,0,0,0.9166666666666651,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,0,0,2,0,2,1,0,1,0,1
"Anthony Mosley,Capriest Gardner,Jake Bruns,Max Hisatake,Milos Dugalic",1,0,3,4,3,1,3,3,0,2,9,2.28333333333333,1,0,0,0,4,0,4,0,0,0,2,1,0,0,2,0,2,1,0,2,0,2,9,0,0,0,0,4,0,4,3,1
"Anthony Mosley,Capriest Gardner,Jake Bruns,Max Hisatake,Parker Joncus",0,0,2,3,1,2,0,0,0,1,3,2.7500000000000018,0,2,0,2,4,2,2,2,1,1,1,0,7,1,3,2,1,2,1,1,0,1,-4,0,2,1,1,2,1,1,0,1
"Anthony Mosley,Capriest Gardner,Jake Digiorgio,Max Hisatake,Parker Joncus",0,0,1,1,0,1,0,0,0,1,0,0.983333333333333,0,0,0,1,1,0,1,2,1,1,0,0,1,0,0,0,0,1,0,1,0,1,-1,0,0,0,0,1,1,1,0,1
"Anthony Mosley,Capriest Gardner,Jake Digiorgio,Milos Dugalic,Otis Reale",1,1,2,10,5,5,4,4,0,3,14,4.966666666666668,2,2,0,3,8,4,4,0,0,0,3,1,10,0,4,2,2,4,3,4,2,2,4,2,0,0,0,4,2,10,5,5
"Anthony Mosley,Capriest Gardner,Jake Digiorgio,Otis Reale,Parker Joncus",1,0,1,3,2,1,0,0,0,0,5,1.8333333333333302,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,2,2,0,2,5,0,2,1,1,1,0,1,1,0
"Anthony Mosley,Capriest Gardner,Max Hisatake,Milos Dugalic,Otis Reale",1,1,4,6,2,4,2,1,1,2,5,5.63333333333334,3,3,0,1,7,3,4,0,0,0,2,0,8,1,3,2,1,1,0,4,1,3,-3,0,2,0,2,7,3,4,2,2
"Anthony Mosley,Capriest Gardner,Max Hisatake,Otis Reale,Parker Joncus",0,0,1,3,3,0,0,0,0,1,6,3.03333333333333,0,0,0,0,3,2,1,0,0,0,0,0,5,2,2,1,1,0,1,1,1,0,1,0,0,0,0,1,2,3,3,0
"Anthony Mosley,Capriest Gardner,Milos Dugalic,Otis Reale,Ricardo Whitehead",2,0,2,7,3,4,4,3,1,2,10,5.8000000000000105,1,3,0,3,6,4,2,2,2,0,3,0,11,0,2,1,1,3,1,4,3,1,-1,0,1,1,0,3,2,6,2,4
"Anthony Mosley,Jake Bruns,Jake Digiorgio,Kohl Linder,Parker Joncus",1,0,2,8,1,7,0,0,0,2,3,3.73333333333333,4,2,1,3,4,2,2,2,2,0,2,0,7,1,3,1,2,3,1,1,1,0,-4,1,6,1,5,6,1,2,0,2
"Anthony Mosley,Jake Bruns,Jake Digiorgio,Max Hisatake,Milos Dugalic",6,2,8,16,8,8,6,6,0,1,26,9.533333333333335,2,3,1,4,17,6,11,1,1,0,4,3,13,2,5,0,5,7,2,12,6,6,13,2,9,4,5,10,3,7,4,3
"Anthony Mosley,Jake Bruns,Jake Digiorgio,Max Hisatake,Parker Joncus",6,1,8,28,9,19,8,4,4,3,25,16.266666666666662,6,4,3,7,19,9,10,4,3,1,10,2,21,3,2,0,2,9,7,17,9,8,4,4,7,3,4,14,5,21,6,15
"Anthony Mosley,Jake Bruns,Jake Digiorgio,Milos Dugalic,Parker Joncus",3,0,0,7,5,2,1,0,1,3,11,6.249999999999997,0,5,0,3,10,7,3,1,1,0,2,2,16,2,1,1,0,5,3,9,6,3,-5,2,3,1,2,0,2,4,4,0
"Anthony Mosley,Jake Bruns,Jake Digiorgio,Parker Joncus,Ricardo Whitehead",0,0,2,4,1,3,0,0,0,1,2,1.233333333333334,1,0,1,1,2,0,2,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,2,0,0,0,0,3,0,4,1,3
"Anthony Mosley,Jake Bruns,Kohl Linder,Max Hisatake,Parker Joncus",0,0,0,2,0,2,0,0,0,1,0,0.966666666666667,0,0,0,2,0,0,0,2,2,0,0,0,2,0,0,0,0,2,1,0,0,0,-2,0,2,0,2,0,0,0,0,0
"Anthony Mosley,Jake Bruns,Max Hisatake,Milos Dugalic,Parker Joncus",1,0,2,2,2,0,0,0,0,1,4,2.150000000000002,0,0,0,0,3,0,3,2,0,2,0,2,0,1,1,0,1,2,1,2,0,2,4,1,0,0,0,2,1,2,2,0
"Anthony Mosley,Jake Digiorgio,Max Hisatake,Milos Dugalic,Otis Reale",3,1,1,7,3,4,5,3,2,3,10,5.050000000000001,1,4,0,4,7,6,1,4,4,0,3,0,20,1,4,4,0,4,1,3,2,1,-10,1,3,1,2,2,2,4,2,2
"Anthony Mosley,Jake Digiorgio,Max Hisatake,Milos Dugalic,Zach Parduhn",0,0,0,2,1,1,0,0,0,0,2,1.26666666666667,0,0,0,1,3,3,0,0,0,0,0,0,6,1,0,0,0,1,0,3,3,0,-4,0,0,0,0,0,1,2,1,1
"Anthony Mosley,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",2,3,6,16,8,8,5,3,2,3,20,11.63333333333333,3,2,1,6,16,6,10,4,3,1,7,2,16,1,4,1,3,8,6,12,5,7,3,4,3,1,2,9,3,13,7,6
"Anthony Mosley,Jake Digiorgio,Milos Dugalic,Otis Reale,Parker Joncus",1,0,1,4,1,3,2,1,1,1,3,3.3,2,0,0,1,2,2,0,1,0,1,1,0,4,1,0,0,0,1,2,2,2,0,0,1,1,0,1,3,2,3,1,2
"Anthony Mosley,Jake Digiorgio,Milos Dugalic,Otis Reale,Ricardo Whitehead",1,0,1,3,1,2,0,0,0,1,3,1.6000000000000019,0,1,1,2,1,1,0,2,0,2,1,0,3,0,1,1,0,2,2,0,0,0,0,0,2,1,1,1,0,1,0,1
"Anthony Mosley,Jake Digiorgio,Otis Reale,Parker Joncus,Ricardo Whitehead",0,0,1,1,0,1,2,1,1,0,1,1.31666666666667,0,1,0,1,3,1,2,0,0,0,1,1,3,1,3,1,2,2,0,0,0,0,-2,0,0,0,0,1,1,1,0,1
"Anthony Mosley,Max Hisatake,Otis Reale,Parker Joncus,Ricardo Whitehead",0,1,1,0,0,0,1,0,1,1,0,0.683333333333334,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0
"Ben Wagner,Brett Ott,Calvin Schmitz,Jalen Lomax,Kohl Linder",1,0,1,5,2,3,1,1,0,0,5,1.05,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,3,0,5,2,3
"Brett Ott,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Kohl Linder",0,0,1,0,0,0,2,1,1,0,1,0.8999999999999989,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0
"Brett Ott,Calvin Schmitz,Jalen Lomax,Kohl Linder,Zach Parduhn",0,0,1,2,0,2,2,1,1,2,1,2.5833333333333304,0,1,0,2,2,1,1,4,3,1,1,0,5,1,0,0,0,2,0,2,1,1,-4,0,1,0,1,1,1,1,0,1
"Brett Ott,Capriest Gardner,Cody Mattson,Jalen Lomax,Zach Parduhn",0,1,2,2,0,2,0,0,0,1,0,1.85,0,0,0,2,3,1,2,0,0,0,0,0,2,0,1,0,1,2,0,2,1,1,0,0,0,0,0,2,1,2,0,2
"Brett Ott,Capriest Gardner,Jake Bruns,Jake Digiorgio,Parker Joncus",1,0,2,1,1,0,0,0,0,0,2,1.6666666666666698,0,1,0,0,3,1,2,0,0,0,0,0,3,1,2,1,1,0,0,1,0,1,-1,0,0,0,0,2,2,1,1,0
"Brett Ott,Cody Mattson,Jalen Lomax,Kohl Linder,Zach Parduhn",1,2,0,1,1,0,0,0,0,1,2,1.28333333333333,0,1,0,0,6,2,4,1,0,1,0,4,4,0,0,0,0,4,0,6,2,4,0,0,0,0,0,0,0,1,1,0
"Brett Ott,Jake Bruns,Jake Digiorgio,Parker Joncus,Zach Parduhn",1,0,1,2,1,1,0,0,0,1,2,1.53333333333333,0,1,0,1,4,2,2,2,1,1,0,1,6,0,2,1,1,2,0,2,1,1,-4,0,1,0,1,1,0,1,1,0
"Calvin Schmitz,Calvin Schmitz,Capriest Gardner,Jake Bruns,Jake Digiorgio,Zach Parduhn",0,0,0,3,1,2,0,0,0,1,2,1.75,1,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,2,1,1
"Calvin Schmitz,Capriest Gardner,Jake Bruns,Jake Digiorgio,Otis Reale",0,1,0,0,0,0,0,0,0,1,0,1.01666666666667,0,1,0,0,3,1,2,2,2,0,0,1,4,0,0,0,0,1,0,3,1,2,-4,0,0,0,0,0,1,0,0,0
"Calvin Schmitz,Capriest Gardner,Jake Bruns,Jake Digiorgio,Zach Parduhn",0,0,0,0,0,0,0,0,0,3,0,1.8833333333333302,0,0,0,0,2,2,0,2,1,1,0,0,6,1,1,1,0,0,0,1,1,0,-6,0,0,0,0,0,3,0,0,0
"Calvin Schmitz,Capriest Gardner,Jake Bruns,Max Hisatake,Milos Dugalic,Otis Reale",0,0,1,1,0,1,0,0,0,0,0,0.8166666666666679,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1
"Calvin Schmitz,Capriest Gardner,Jake Bruns,Max Hisatake,Milos Dugalic,Zach Parduhn",0,0,0,3,1,2,0,0,0,1,2,0.85,2,0,0,1,1,1,0,1,0,1,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,3,1,2
"Calvin Schmitz,Cody Mattson,Jake Bruns,Jake Digiorgio,Zach Parduhn",0,0,0,1,0,1,0,0,0,1,0,1.5,1,1,0,0,1,1,0,2,1,1,1,0,4,1,1,1,0,0,0,0,0,0,-4,0,0,0,0,1,1,1,0,1
"Calvin Schmitz,Cody Mattson,Jake Bruns,Ricardo Whitehead,Zach Parduhn",0,0,0,2,1,1,0,0,0,1,2,1.5,0,1,0,0,1,1,0,0,0,0,0,0,3,1,1,1,0,0,2,0,0,0,-1,1,1,0,1,0,1,1,1,0
"Calvin Schmitz,Jake Bruns,Jake Digiorgio,Kohl Linder,Otis Reale",0,0,1,3,0,3,0,0,0,0,0,1.4,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,2,0,2,2,0,1,0,1
"Calvin Schmitz,Jake Bruns,Jake Digiorgio,Max Hisatake,Otis Reale",0,0,2,2,0,2,3,2,1,0,2,2.18333333333333,1,2,0,2,3,2,1,0,0,0,3,0,5,2,2,1,1,2,1,1,1,0,-3,1,0,0,0,3,2,2,0,2
"Calvin Schmitz,Jake Bruns,Jake Digiorgio,Milos Dugalic,Parker Joncus",3,0,1,6,3,3,0,0,0,0,8,3.9,0,3,0,2,6,4,2,0,0,0,1,1,10,0,2,2,0,3,1,4,2,2,-2,0,4,2,2,1,0,2,1,1
"Calvin Schmitz,Jake Bruns,Jake Digiorgio,Milos Dugalic,Zach Parduhn",1,0,2,5,3,2,2,1,1,0,8,3.9,1,3,1,1,5,3,2,0,0,0,2,0,7,1,2,1,1,1,1,3,2,1,1,0,3,1,2,3,1,2,2,0
"Calvin Schmitz,Jake Bruns,Jake Digiorgio,Otis Reale,Parker Joncus",1,0,0,1,1,0,0,0,0,0,3,1.4,0,1,0,0,3,2,1,0,0,0,0,1,5,0,1,1,0,1,0,2,1,1,0,0,1,1,0,0,0,0,0,0
"Calvin Schmitz,Jake Bruns,Jake Digiorgio,Otis Reale,Ricardo Whitehead",0,0,1,2,1,1,0,0,0,1,2,0.75,0,0,0,1,3,1,2,1,0,1,0,1,2,0,0,0,0,2,0,3,1,2,0,0,0,0,0,1,0,2,1,1
"Calvin Schmitz,Jake Bruns,Jake Digiorgio,Parker Joncus,Zach Parduhn",1,0,2,3,3,0,1,0,1,1,6,2.1,0,0,0,0,3,0,3,0,0,0,2,0,0,0,2,0,2,0,0,1,0,1,6,0,0,0,0,2,0,3,3,0
"Calvin Schmitz,Jake Bruns,Kohl Linder,Max Hisatake,Zach Parduhn",0,0,0,1,1,0,0,0,0,0,2,1.03333333333333,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,1,0,0,0,0,0,1,1,0
"Calvin Schmitz,Jake Bruns,Max Hisatake,Milos Dugalic,Otis Reale",0,0,3,3,1,2,0,0,0,1,2,2.450000000000003,1,0,0,1,4,1,3,0,0,0,1,0,2,1,2,0,2,1,0,2,1,1,0,0,1,0,1,4,1,2,1,1
"Calvin Schmitz,Jake Bruns,Max Hisatake,Milos Dugalic,Zach Parduhn",1,0,0,2,1,1,0,0,0,3,2,1.5666666666666698,0,1,0,1,1,1,0,2,2,0,1,0,4,0,0,0,0,1,0,1,1,0,-2,0,0,0,0,0,0,2,1,1
"Calvin Schmitz,Jake Bruns,Max Hisatake,Otis Reale,Ricardo Whitehead",1,0,1,1,1,0,0,0,0,1,2,0.866666666666667,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,1,0
"Calvin Schmitz,Jake Bruns,Max Hisatake,Parker Joncus,Zach Parduhn",1,0,1,3,3,0,0,0,0,0,6,1.95,0,1,0,0,3,2,1,0,0,0,0,0,5,0,1,1,0,0,0,2,1,1,1,0,0,0,0,1,0,3,3,0
"Calvin Schmitz,Jake Bruns,Parker Joncus,Ricardo Whitehead,Zach Parduhn",0,0,2,2,1,1,2,1,1,0,3,1.7,0,1,0,1,3,1,2,0,0,0,2,0,3,0,3,1,2,1,0,0,0,0,0,0,1,0,1,2,0,1,1,0
"Calvin Schmitz,Jake Digiorgio,Kohl Linder,Milos Dugalic,Otis Reale",1,0,1,2,2,0,0,0,0,0,4,1.3833333333333302,0,0,0,0,2,1,1,0,0,0,0,0,2,1,0,0,0,0,0,2,1,1,2,0,0,0,0,1,1,2,2,0
"Calvin Schmitz,Jake Digiorgio,Max Hisatake,Milos Dugalic,Otis Reale",0,1,3,4,2,2,0,0,0,1,4,2.03333333333333,2,0,0,0,3,0,3,0,0,0,2,0,0,0,2,0,2,0,0,1,0,1,4,0,0,0,0,5,1,4,2,2
"Calvin Schmitz,Jake Digiorgio,Max Hisatake,Milos Dugalic,Zach Parduhn",0,0,1,3,1,2,0,0,0,1,2,1.35,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,1,1,0,1,3,1,2,1,1
"Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",11,2,13,30,17,13,9,5,4,5,42,20.25,1,7,1,12,35,15,20,5,2,3,6,4,36,1,14,4,10,16,3,21,11,10,11,2,9,3,6,14,2,21,14,7
"Calvin Schmitz,Jake Digiorgio,Milos Dugalic,Otis Reale,Parker Joncus",3,0,5,7,3,4,0,0,0,1,8,5.4,0,0,0,4,7,2,5,2,2,0,1,0,6,1,3,0,3,4,2,4,2,2,2,0,3,2,1,5,2,4,1,3
"Calvin Schmitz,Kohl Linder,Max Hisatake,Otis Reale,Zach Parduhn",0,0,1,0,0,0,0,0,0,0,0,0.5833333333333339,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Capriest Gardner,Jake Bruns,Jake Digiorgio,Milos Dugalic,Otis Reale",2,0,4,10,5,5,3,2,1,0,13,6.983333333333331,2,1,1,4,9,4,5,0,0,0,4,1,8,0,1,0,1,5,3,8,4,4,5,0,2,1,1,6,1,8,4,4
"Capriest Gardner,Jake Bruns,Jake Digiorgio,Parker Joncus,Zach Parduhn",0,0,1,3,1,2,0,0,0,0,2,2.4833333333333303,0,0,1,1,3,2,1,0,0,0,0,0,4,1,0,0,0,1,1,3,2,1,-2,0,1,0,1,1,1,2,1,1
"Capriest Gardner,Jake Bruns,Max Hisatake,Milos Dugalic,Otis Reale",1,0,0,4,1,3,0,0,0,0,2,2.050000000000001,1,0,1,2,2,1,1,0,0,0,0,1,2,0,0,0,0,3,1,2,1,1,0,0,1,0,1,1,0,3,1,2
"Capriest Gardner,Jake Bruns,Milos Dugalic,Otis Reale,Ricardo Whitehead",0,1,3,2,0,2,0,0,0,4,0,2.683333333333336,0,1,0,1,4,1,3,0,0,0,0,0,2,0,1,0,1,1,0,3,1,2,-2,0,0,0,0,3,2,2,0,2
"Cody Mattson,Jake Bruns,Max Hisatake,Milos Dugalic,Otis Reale",0,0,0,0,0,0,0,0,0,1,0,0.28333333333333305,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0
"Cody Mattson,Jake Bruns,Max Hisatake,Otis Reale,Parker Joncus",0,0,0,2,0,2,4,3,1,0,3,2.0166666666666697,0,1,0,2,3,2,1,0,0,0,2,1,5,0,1,1,0,3,1,2,1,1,-2,0,0,0,0,0,0,2,0,2
"Jake Bruns,Jake Digiorgio,Kohl Linder,Milos Dugalic,Otis Reale",0,0,0,0,0,0,0,0,0,1,0,0.5833333333333339,0,0,0,0,1,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,-3,0,0,0,0,0,1,0,0,0
"Jake Bruns,Jake Digiorgio,Kohl Linder,Otis Reale,Parker Joncus",0,0,1,2,0,2,0,0,0,0,0,1.2,0,0,0,2,2,0,2,0,0,0,0,1,0,0,1,0,1,3,1,1,0,1,0,0,0,0,0,1,0,2,0,2
"Jake Bruns,Jake Digiorgio,Max Hisatake,Milos Dugalic,Otis Reale",1,0,0,2,1,1,0,0,0,0,3,1.15,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1
"Jake Bruns,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",3,0,7,11,6,5,0,0,0,1,13,6.78333333333334,2,2,0,3,12,4,8,2,2,0,1,1,10,0,3,0,3,4,0,9,4,5,3,0,5,1,4,9,2,6,5,1
"Jake Bruns,Jake Digiorgio,Milos Dugalic,Otis Reale,Parker Joncus",1,0,0,5,1,4,0,0,0,3,3,1.75,1,0,0,2,0,0,0,6,5,1,0,0,5,0,0,0,0,2,1,0,0,0,0,0,4,1,3,1,1,1,0,1
"Jake Bruns,Kohl Linder,Max Hisatake,Milos Dugalic,Otis Reale",1,0,3,5,3,2,2,2,0,3,9,3.7,1,0,1,1,4,2,2,1,0,1,2,0,4,0,1,0,1,1,2,3,2,1,5,1,1,1,0,4,2,4,2,2
"Jake Bruns,Max Hisatake,Otis Reale,Parker Joncus,Ricardo Whitehead",1,0,2,2,1,1,1,1,0,0,4,1.45,0,0,0,1,3,1,2,0,0,0,1,0,2,0,2,0,2,1,0,1,1,0,2,0,1,1,0,2,0,1,0,1
"Jake Digiorgio,Kohl Linder,Milos Dugalic,Otis Reale,Parker Joncus",0,0,0,2,1,1,0,0,0,2,2,0.55,1,0,0,0,1,0,1,4,4,0,0,1,4,0,1,0,1,1,0,0,0,0,-2,0,0,0,0,1,0,2,1,1
"Jake Digiorgio,Max Hisatake,Milos Dugalic,Otis Reale,Parker Joncus",1,1,1,4,1,3,2,1,1,1,3,3.4166666666666696,0,3,1,2,5,3,2,2,2,0,4,1,10,2,2,2,0,3,1,3,1,2,-7,0,1,0,1,1,4,3,1,2
