chosen_player,pair,min,plusminus
Anthony Mosley,"Anthony Mosley,Max Hisatake,Milos Dugalic",80.4333333333334,42
Anthony Mosley,"Ahmad Muhammad,Anthony Mosley,Max Hisatake",169.916666666667,44
Anthony Mosley,"Ahmad Muhammad,Anthony Mosley,Milos Dugalic",83.7666666666667,50
Anthony Mosley,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio",191.616666666667,59
Anthony Mosley,"Anthony Mosley,Jake Digiorgio,Max Hisatake",206.983333333333,47
Ben Wagner,"Ben Wagner,Calvin Schmitz,Kohl Linder",1.05,0
Ben Wagner,"Ben Wagner,Brett Ott,Jalen Lomax",1.05,0
Ben Wagner,"Ben Wagner,Jalen Lomax,Kohl Linder",1.05,0
Ben Wagner,"Ben Wagner,Brett Ott,Calvin Schmitz",1.05,0
Ben Wagner,"Ben Wagner,Brett Ott,Kohl Linder",1.05,0
Ahmad Muhammad,"Ahmad Muhammad,Anthony Mosley,Max Hisatake",169.916666666667,44
Ahmad Muhammad,"Ahmad Muhammad,Jake Digiorgio,Max Hisatake",279.516666666667,51
Ahmad Muhammad,"Ahmad Muhammad,Anthony Mosley,Milos Dugalic",83.7666666666667,50
Ahmad Muhammad,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio",191.616666666667,59
Ahmad Muhammad,"Ahmad Muhammad,Jake Digiorgio,Milos Dugalic",176.166666666667,74
Jake Bruns,"Jake Bruns,Otis Reale,Parker Joncus",40.1,19
Jake Bruns,"Anthony Mosley,Jake Bruns,Max Hisatake",44.9666666666667,24
Jake Bruns,"Jake Bruns,Max Hisatake,Milos Dugalic",79.5333333333333,33
Jake Bruns,"Jake Bruns,Jake Digiorgio,Max Hisatake",105.433333333333,37
Jake Bruns,"Jake Bruns,Max Hisatake,Parker Joncus",76.1666666666667,29
Jalen Lomax,"Cody Mattson,Jake Digiorgio,Jalen Lomax",3.83333333333333,9
Jalen Lomax,"Ahmad Muhammad,Jalen Lomax,Milos Dugalic",3.83333333333333,9
Jalen Lomax,"Ahmad Muhammad,Cody Mattson,Jalen Lomax",3.83333333333333,9
Jalen Lomax,"Ahmad Muhammad,Jake Digiorgio,Jalen Lomax",3.83333333333333,9
Jalen Lomax,"Cody Mattson,Jalen Lomax,Milos Dugalic",3.83333333333333,9
Calvin Schmitz,"Calvin Schmitz,Parker Joncus,Zach Parduhn",5.75,7
Calvin Schmitz,"Calvin Schmitz,Otis Reale,Ricardo Whitehead",8.51666666666667,8
Calvin Schmitz,"Calvin Schmitz,Max Hisatake,Milos Dugalic",55.3,23
Calvin Schmitz,"Calvin Schmitz,Kohl Linder,Milos Dugalic",10.65,12
Calvin Schmitz,"Calvin Schmitz,Max Hisatake,Otis Reale",170.166666666667,8
Capriest Gardner,"Ahmad Muhammad,Capriest Gardner,Max Hisatake",19.3833333333333,9
Capriest Gardner,"Capriest Gardner,Jake Digiorgio,Milos Dugalic",14.8833333333333,9
Capriest Gardner,"Anthony Mosley,Capriest Gardner,Max Hisatake",26.0833333333333,9
Capriest Gardner,"Anthony Mosley,Capriest Gardner,Jake Digiorgio",17.7,13
Capriest Gardner,"Anthony Mosley,Capriest Gardner,Milos Dugalic",24.9333333333334,10
Brett Ott,"Brett Ott,Cody Mattson,Zach Parduhn",3.13333333333333,0
Brett Ott,"Brett Ott,Jake Digiorgio,Kohl Linder",0.899999999999999,1
Brett Ott,"Brett Ott,Calvin Schmitz,Jake Digiorgio",0.899999999999999,1
Brett Ott,"Brett Ott,Calvin Schmitz,Jake Bruns",0.899999999999999,1
Brett Ott,"Brett Ott,Jake Bruns,Kohl Linder",0.899999999999999,1
Jake Digiorgio,"Anthony Mosley,Jake Digiorgio,Max Hisatake",206.983333333333,47
Jake Digiorgio,"Jake Digiorgio,Max Hisatake,Milos Dugalic",124.633333333333,50
Jake Digiorgio,"Ahmad Muhammad,Jake Digiorgio,Milos Dugalic",176.166666666667,74
Jake Digiorgio,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio",191.616666666667,59
Jake Digiorgio,"Ahmad Muhammad,Jake Digiorgio,Max Hisatake",279.516666666667,51
Max Hisatake,"Anthony Mosley,Max Hisatake,Milos Dugalic",80.4333333333334,42
Max Hisatake,"Anthony Mosley,Jake Digiorgio,Max Hisatake",206.983333333333,47
Max Hisatake,"Ahmad Muhammad,Anthony Mosley,Max Hisatake",169.916666666667,44
Max Hisatake,"Ahmad Muhammad,Jake Digiorgio,Max Hisatake",279.516666666667,51
Max Hisatake,"Jake Digiorgio,Max Hisatake,Milos Dugalic",124.633333333333,50
Otis Reale,"Jake Bruns,Milos Dugalic,Otis Reale",51.5833333333333,18
Otis Reale,"Kohl Linder,Milos Dugalic,Otis Reale",21.7333333333333,18
Otis Reale,"Jake Bruns,Max Hisatake,Otis Reale",72.0333333333333,18
Otis Reale,"Max Hisatake,Otis Reale,Parker Joncus",238.033333333333,25
Otis Reale,"Jake Bruns,Otis Reale,Parker Joncus",40.1,19
Milos Dugalic,"Anthony Mosley,Jake Digiorgio,Milos Dugalic",106.716666666667,42
Milos Dugalic,"Ahmad Muhammad,Anthony Mosley,Milos Dugalic",83.7666666666667,50
Milos Dugalic,"Anthony Mosley,Max Hisatake,Milos Dugalic",80.4333333333334,42
Milos Dugalic,"Ahmad Muhammad,Jake Digiorgio,Milos Dugalic",176.166666666667,74
Milos Dugalic,"Jake Digiorgio,Max Hisatake,Milos Dugalic",124.633333333333,50
Cody Mattson,"Ahmad Muhammad,Cody Mattson,Milos Dugalic",5.76666666666667,6
Cody Mattson,"Cody Mattson,Jake Digiorgio,Milos Dugalic",5.13333333333333,7
Cody Mattson,"Cody Mattson,Jake Digiorgio,Jalen Lomax",3.83333333333333,9
Cody Mattson,"Ahmad Muhammad,Cody Mattson,Jalen Lomax",3.83333333333333,9
Cody Mattson,"Cody Mattson,Jalen Lomax,Milos Dugalic",3.83333333333333,9
Parker Joncus,"Anthony Mosley,Jake Digiorgio,Parker Joncus",164.366666666667,23
Parker Joncus,"Max Hisatake,Otis Reale,Parker Joncus",238.033333333333,25
Parker Joncus,"Jake Bruns,Max Hisatake,Parker Joncus",76.1666666666667,29
Parker Joncus,"Ahmad Muhammad,Anthony Mosley,Parker Joncus",124.016666666667,30
Parker Joncus,"Jake Digiorgio,Max Hisatake,Parker Joncus",299.8,27
Ricardo Whitehead,"Ahmad Muhammad,Milos Dugalic,Ricardo Whitehead",28.35,8
Ricardo Whitehead,"Max Hisatake,Otis Reale,Ricardo Whitehead",9.83333333333333,9
Ricardo Whitehead,"Ahmad Muhammad,Otis Reale,Ricardo Whitehead",15.7166666666667,8
Ricardo Whitehead,"Jake Digiorgio,Milos Dugalic,Ricardo Whitehead",21.5166666666667,9
Ricardo Whitehead,"Milos Dugalic,Otis Reale,Ricardo Whitehead",25.4,17
Kohl Linder,"Ahmad Muhammad,Jake Bruns,Kohl Linder",14.25,9
Kohl Linder,"Kohl Linder,Max Hisatake,Milos Dugalic",11.8166666666667,10
Kohl Linder,"Ahmad Muhammad,Kohl Linder,Milos Dugalic",22.6666666666667,17
Kohl Linder,"Calvin Schmitz,Kohl Linder,Milos Dugalic",10.65,12
Kohl Linder,"Kohl Linder,Milos Dugalic,Otis Reale",21.7333333333333,18
Zach Parduhn,"Max Hisatake,Ricardo Whitehead,Zach Parduhn",1.73333333333334,2
Zach Parduhn,"Kohl Linder,Max Hisatake,Zach Parduhn",1.61666666666667,2
Zach Parduhn,"Ahmad Muhammad,Capriest Gardner,Zach Parduhn",1.26666666666667,2
Zach Parduhn,"Calvin Schmitz,Parker Joncus,Zach Parduhn",5.75,7
Zach Parduhn,"Ahmad Muhammad,Jake Bruns,Zach Parduhn",2.73333333333333,3
